order_id,order_date,supplier,department,category,item_description,quantity,unit_price,total_amount
P001,2024-01-05,TechSupply Co,IT,Hardware,Laptop Dell XPS,5,1200.00,6000.00
P002,2024-01-12,Office Essentials,HR,Office Supplies,Printer Paper Case,20,45.00,900.00
P003,2024-01-18,TechSupply Co,IT,Software,Microsoft 365 License,10,150.00,1500.00
P004,2024-01-25,BuildRight Inc,Facilities,Maintenance,HVAC Filter Set,8,75.00,600.00
P005,2024-02-03,MedEquip Pro,Operations,Equipment,Safety Helmets,15,55.00,825.00
P006,2024-02-10,TechSupply Co,IT,Hardware,Monitor 27 inch,8,380.00,3040.00
P007,2024-02-14,Office Essentials,Finance,Office Supplies,Desk Organizer Set,12,35.00,420.00
P008,2024-02-22,GlobalSource Ltd,Operations,Equipment,Forklift Battery,2,950.00,1900.00
P009,2024-03-01,TechSupply Co,IT,Hardware,Laptop Dell XPS,3,1350.00,4050.00
P010,2024-03-08,BuildRight Inc,Facilities,Maintenance,Plumbing Repair Kit,5,120.00,600.00
P011,2024-03-15,Office Essentials,HR,Office Supplies,Ergonomic Chair,6,420.00,2520.00
P012,2024-03-22,MedEquip Pro,Operations,Safety,First Aid Kit Bulk,10,85.00,850.00
P013,2024-04-02,GlobalSource Ltd,IT,Hardware,Network Switch,4,650.00,2600.00
P014,2024-04-10,TechSupply Co,Finance,Software,Accounting Software,3,800.00,2400.00
P015,2024-04-18,BuildRight Inc,Facilities,Maintenance,Electrical Panel,1,2200.00,2200.00
P016,2024-04-25,Office Essentials,HR,Office Supplies,Printer Paper Case,25,45.00,1125.00
P017,2024-05-03,TechSupply Co,IT,Hardware,Laptop Dell XPS,4,1200.00,4800.00
P018,2024-05-12,MedEquip Pro,Operations,Equipment,Safety Harness Set,8,175.00,1400.00
P019,2024-05-20,GlobalSource Ltd,Operations,Equipment,Pallet Jack,3,780.00,2340.00
P020,2024-05-28,Office Essentials,Finance,Office Supplies,Filing Cabinet,4,280.00,1120.00
P021,2024-06-04,TechSupply Co,IT,Software,Microsoft 365 License,10,150.00,1500.00
P022,2024-06-11,BuildRight Inc,Facilities,Maintenance,HVAC Filter Set,8,75.00,600.00
P023,2024-06-19,MedEquip Pro,Operations,Safety,Fire Extinguisher Set,6,95.00,570.00
P024,2024-06-26,GlobalSource Ltd,IT,Hardware,Server Rack Unit,1,4500.00,4500.00
P025,2024-07-03,TechSupply Co,IT,Hardware,Monitor 27 inch,6,380.00,2280.00
P026,2024-07-10,Office Essentials,HR,Office Supplies,Ergonomic Chair,4,420.00,1680.00
P027,2024-07-18,BuildRight Inc,Facilities,Maintenance,Roof Repair Materials,1,3200.00,3200.00
P028,2024-07-25,MedEquip Pro,Operations,Equipment,Safety Helmets,20,55.00,1100.00
P029,2024-08-01,TechSupply Co,IT,Hardware,Laptop Dell XPS,6,1200.00,7200.00
P030,2024-08-09,GlobalSource Ltd,Operations,Equipment,Conveyor Belt Part,2,1850.00,3700.00
P031,2024-08-16,Office Essentials,Finance,Office Supplies,Desk Organizer Set,8,35.00,280.00
P032,2024-08-23,BuildRight Inc,Facilities,Maintenance,Plumbing Repair Kit,3,120.00,360.00
P033,2024-09-05,TechSupply Co,IT,Software,Cybersecurity Suite,5,600.00,3000.00
P034,2024-09-12,MedEquip Pro,Operations,Safety,First Aid Kit Bulk,8,85.00,680.00
P035,2024-09-19,GlobalSource Ltd,IT,Hardware,Network Switch,3,650.00,1950.00
P036,2024-09-26,Office Essentials,HR,Office Supplies,Printer Paper Case,30,45.00,1350.00
P037,2024-10-03,TechSupply Co,IT,Hardware,Laptop Dell XPS,8,1200.00,9600.00
P038,2024-10-10,BuildRight Inc,Facilities,Maintenance,Electrical Panel,2,2200.00,4400.00
P039,2024-10-17,MedEquip Pro,Operations,Equipment,Safety Harness Set,10,175.00,1750.00
P040,2024-10-24,GlobalSource Ltd,Operations,Equipment,Forklift Battery,3,950.00,2850.00
P041,2024-11-02,TechSupply Co,IT,Hardware,Monitor 27 inch,10,380.00,3800.00
P042,2024-11-08,Office Essentials,Finance,Office Supplies,Filing Cabinet,6,280.00,1680.00
P043,2024-11-15,BuildRight Inc,Facilities,Maintenance,HVAC Filter Set,12,75.00,900.00
P044,2024-11-22,MedEquip Pro,Operations,Safety,Fire Extinguisher Set,8,95.00,760.00
P045,2024-12-02,TechSupply Co,IT,Software,Microsoft 365 License,15,150.00,2250.00
P046,2024-12-06,TechSupply Co,IT,Hardware,Laptop Dell XPS,10,1200.00,12000.00
P047,2024-12-10,GlobalSource Ltd,IT,Hardware,Server Rack Unit,2,4500.00,9000.00
P048,2024-12-15,Office Essentials,HR,Office Supplies,Ergonomic Chair,8,420.00,3360.00
P049,2024-12-20,BuildRight Inc,Facilities,Maintenance,Roof Repair Materials,1,3200.00,3200.00
P050,2024-12-28,TechSupply Co,IT,Hardware,Laptop Dell XPS,5,1350.00,6750.00
